Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,,,,,,,,,,,,
Series Title:,,,,,,,,,,,,
Area:,,,,,,,,,,,,
Item:,,,,,,,,,,,,
Years:,,,,,,,,,,,,
,,,,,,,,,,,,
Year,,,,,,,,,,,,
2010,,,,,,,,,,,,
2011,15.901338231435314,12.901498929336185,30.21037868162695,40.09887393573195,39.98362445414845,41.574249391398425,43.81643764583871,46.53113087674714,35.385721130809756,32.00000000000001,26.169688829191863,31.138446695610234
2012,24.45098483133348,27.596017069701272,19.732873761309765,8.076847676926091,9.105088711249776,6.648834543370263,3.172886244817019,-1.2660423170308799,0.7432312864979584,6.840863727091273,7.629524485450667,8.901967997057202
2013,7.367655084591607,6.688963210702337,8.204390068369927,2.9203700344639927,1.4653323802716223,0.10748835542817581,-5.748733181897602,-8.413841559810276,-10.5743896012647,-12.55095108695652,-16.913946587537087,-16.433034960310756
2014,-14.859369705184678,-12.887495646116342,-16.777519122048556,-8.283397955586903,-9.246213455442065,-16.428060128847534,-5.469039673711529,-0.9014192558496448,2.435670791592992,-2.272285880753544,-6.488095238095237,-7.2352465642684045
2015,-5.711442786069654,-1.8392642942822834,-3.556443556443556,-4.112221368178314,-8.49990296914418,0.3426124197002167,-6.06001176701314,-6.94793884265531,-10.46979865771812,-8.406200317965029,-6.3865902821981795,-2.265795206971677
2016,-5.0654284508231395,-9.429735234215887,-8.742490159519367,-11.262525050100203,-5.768822905620363,-4.374733247972684,-7.557411273486436,-10.232945091514145,-6.361105161704861,-6.509004122369277,-2.402538531278331,-4.569772625947399
2017,-0.6669630947087613,3.058241511131099,5.5618615209988675,4.381210478771447,3.4661264911096223,1.4282526221825576,-2.10027100271003,1.320667284522714,-1.1207685269899237,0.4177303318635417,0.4180213655364584,0.09343611305769883
2018,-3.961504028648155,-6.895046912502723,-6.602150537634421,-6.685417568152319,-6.591255166412891,0.0,0.0,0.0,-0.3932454314133804,0.0,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5359371388952954,-2.9370952821461516,-5.414235705950999
2020,-2.726637147518063,-0.3984063745020028,-0.20723002532812007,1.9244145606306606,4.0055891942245125,-0.6160616061606117,4.636678200692024,2.995655156643018,4.2034370645610775,8.337326305701964,6.862044317369564,11.522329138909448
2021,9.990416866315277,9.952941176470587,7.77572681125982,8.098271155596004,2.239140170174636,1.9481957051140197,0.5731922398589218,4.928952042628776,5.482505014486283,6.147722246793452,7.380156075808242,9.84513274336285
2022,11.849270311478977,12.283329766745133,15.821023335474194,16.3510101010101,27.792378449408673,25.798045602605857,33.976326172731255,31.929750317393157,30.36129304880626,33.50000000000002,31.976744186046524,30.211480362537756
2023,23.81694255111977,21.040594625500297,14.306839186691311,9.24217760897088,4.438731790916894,5.144139478681176,0.4744764397905721,-2.309542902967121,-1.3776337115072979,-3.589263420724098,-2.9421019509125235,-5.7695282289249805
2024,-3.6804026423403635,-4.046606833569511,-3.557567917205684,0.380794701986753,-1.69018706924845,2.659661796092605,2.703142810617165,3.611886389755381,6.327033689400152,7.542894140498557,11.330847787323739,11.227839789888371
2025,14.61463096015676,18.903839842467995,23.8262910798122,24.29490351311232,32.38190619262227,30.049576203422347,33.40732519422862,40.579939787672316,41.25193199381763,0.0,0.0,0.0
